!x y1 y2 y3 y4 y5
835.12 38 21 4 65 7
835.86 55 21 14 65 7
836.60 43 24 14 59 11
837.34 43 21 12 69 9
838.08 49 20 7 55 11
838.81 46 23 9 55 5
839.55 46 18 17 55 9
840.29 43 20 9 46 9
841.03 43 18 17 55 9
841.76 41 19 9 62 5
842.50 52 18 9 52 7
843.24 46 19 12 49 7
843.98 46 19 12 52 11
844.71 43 20 12 49 5
845.45 43 19 9 59 11
846.19 43 17 7 46 7
846.93 43 18 17 52 11
847.66 38 16 9 46 -1
848.40 46 21 12 46 11
849.14 46 19 9 36 11
849.87 41 18 7 42 5
850.61 41 17 4 42 11
851.35 38 18 14 42 7
852.08 38 16 9 52 7
852.82 43 19 14 49 9
853.56 43 16 12 49 1
854.29 38 16 9 49 7
855.03 38 16 14 39 7
855.77 41 18 12 39 7
856.50 35 18 9 39 5
857.24 46 17 7 46 5
857.97 41 14 9 46 5
858.71 41 15 7 39 13
859.45 38 16 12 46 5
860.18 38 15 12 39 7
860.92 35 15 14 39 7
861.65 32 15 4 39 7
862.39 43 14 9 42 5
863.12 43 13 4 32 7
863.86 41 12 7 49 1
864.59 41 13 7 42 1
865.33 35 11 7 46 5
866.06 41 15 4 39 9
866.80 29 11 2 32 3
867.53 35 11 7 42 5
868.27 38 14 2 32 9
869.00 43 14 9 36 9
869.74 35 14 7 32 7
870.47 41 15 9 39 5
871.21 29 12 4 36 -1
871.94 32 11 7 32 5
872.68 32 9 2 29 3
873.41 35 12 12 39 5
874.15 35 12 9 26 7
874.88 38 13 12 39 7
875.61 43 14 4 29 7
876.35 32 15 7 32 3
877.08 32 11 9 29 3
877.82 38 12 4 29 7
878.55 29 10 4 36 11
879.28 29 11 9 29 7
880.02 27 10 9 32 1
880.75 32 11 7 22 3
881.48 27 13 4 29 7
882.22 29 10 4 29 3
882.95 27 10 9 26 3
883.68 35 8 7 36 3
884.42 29 10 9 32 5
885.15 38 12 7 32 5
885.88 41 12 2 26 5
886.62 35 13 7 22 7
887.35 29 11 7 32 3
888.08 35 12 9 36 5
888.81 38 8 12 26 5
889.55 27 10 7 32 3
890.28 29 10 7 22 9
891.01 32 11 2 32 1
891.74 29 9 2 36 3
892.48 29 8 2 22 5
893.21 35 12 7 26 5
893.94 32 10 12 32 5
894.67 29 10 7 32 1
895.40 29 9 9 32 5
